DXEX v6
C:\Users\shanghaijiaoda\Documents\My Flow Projects\PumpB\Double_1.0B_middle.lda
3:08:07 PM
233;0.00 mm;0.00 mm;0.00 mm
Region1
"Row#","Arrival Time [ms]","Transit Time [us]","Velocity U [m/s]","Arrival Time{G2} [ms]","Transit Time{G2} [us]","Velocity V{G2} [m/s]",
96,141.528,3.8,-1.60,125.609,28.8,-2.58
97,141.560,20.3,-1.05,125.634,16.9,-2.74
98,141.575,3.8,-1.49,125.647,3.6,-2.51
99,143.818,5.1,-1.33,125.655,3.6,-2.59
100,143.830,6.4,-1.34,125.671,4.5,-2.80
101,143.870,9.0,-1.19,127.471,39.0,-3.93
102,143.905,20.7,-0.98,129.569,5.3,-1.92
103,143.930,20.3,-0.96,129.584,6.6,-2.19
104,149.274,23.0,0.61,129.599,14.9,-1.88
105,149.297,11.5,0.51,129.622,5.5,-1.76
106,151.080,21.1,2.92,129.797,10.5,-1.77
107,151.161,4.1,3.60,129.918,4.1,-1.93
108,151.166,3.8,3.12,129.928,11.3,-1.15
109,154.676,4.1,1.24,132.928,9.2,-1.52
110,155.650,10.7,1.85,134.503,16.6,-2.13
111,160.819,4.9,5.34,138.799,12.2,-2.66
112,160.830,14.5,4.70,139.710,18.6,-2.28
113,161.162,7.0,3.99,141.500,4.1,-1.97
114,161.471,8.7,3.73,141.521,4.7,-1.82
115,161.973,7.7,4.02,142.601,16.4,-1.46
116,161.983,6.2,4.07,142.625,5.3,-1.48
117,167.270,12.8,1.77,142.645,27.3,-1.57
118,167.281,4.9,2.20,143.217,8.1,-2.92
119,167.292,6.0,2.38,143.225,4.9,-2.93
120,171.267,9.6,1.05,143.240,6.4,-3.13
121,176.679,4.1,0.19,147.863,3.6,-1.50
122,176.696,11.1,0.75,147.880,20.5,-1.17
123,176.746,3.4,0.49,147.895,5.1,-1.56
124,176.791,11.3,0.09,147.918,33.9,-1.30
125,176.803,5.3,0.60,151.079,6.6,-3.46
126,176.814,9.4,0.56,151.167,6.6,-3.95
127,176.856,8.1,0.21,151.180,13.4,-4.07
128,176.863,3.0,0.54,151.802,18.1,-3.83
129,176.891,3.6,0.60,154.677,10.5,-3.97
130,176.907,5.5,0.41,154.689,7.3,-3.90
131,176.917,5.5,-0.04,155.058,6.8,-4.92
132,176.928,8.5,0.71,160.693,15.4,-1.38
133,177.019,6.8,0.51,161.182,9.4,-1.81
134,177.045,3.2,0.33,162.003,4.5,-2.53
135,177.060,3.2,0.46,167.299,5.3,-1.45
136,182.716,4.5,1.21,167.308,8.3,-1.64
137,182.733,8.1,0.81,167.325,6.4,-1.75
138,182.749,5.5,1.02,174.234,4.3,0.70
139,184.565,5.1,1.93,174.959,3.4,0.81
140,190.130,3.8,3.85,175.300,14.9,1.06
141,190.780,5.1,4.40,181.242,5.8,-1.39
142,193.229,14.9,5.52,181.284,4.3,-1.10
143,194.387,3.4,4.87,181.291,6.0,-1.31
144,194.396,3.6,4.67,184.837,14.1,-0.23
145,195.050,14.5,5.06,184.860,17.9,-0.26
146,197.189,4.3,4.75,186.597,13.2,-2.49
147,200.451,33.1,-2.68,190.128,12.2,-5.32
148,200.534,13.0,2.11,190.632,17.1,-5.30
149,202.901,5.3,-4.76,190.647,5.5,-5.14
150,203.200,13.7,-5.27,191.491,6.4,-5.13
151,203.474,11.9,-5.19,193.143,19.2,-4.15
152,204.068,5.5,-5.49,194.151,4.1,-5.17
153,204.079,9.4,-5.03,194.255,3.6,-4.53
154,204.516,8.7,-5.36,194.392,6.8,-4.56
155,205.327,6.2,-4.47,194.406,10.9,-4.12
156,205.347,5.1,-4.71,194.525,4.9,-3.68
157,209.401,11.9,-3.71,194.532,4.9,-4.24
158,209.412,10.2,-4.15,197.470,7.9,-1.95
159,209.619,4.5,-2.83,197.991,19.6,-2.10
160,209.670,11.5,-2.58,199.762,4.3,-2.19
